timestamp,site,url,title,type,length,language,score
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/cvgvdr3gwneo,"In a trial that is undoing the legacy of one of music's biggest moguls of the 2000s, the focus of th",news,1698,en,0.043342911877394634
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/live/c74n9n5l1nxt,Countdown To Eurovision Song Contest Final 2025 BBC News This video can not be played Countdown To E,news,1253,en,0.13949314574314572
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/c04ezlyq4y0o,Former FBI director James Comey has been interviewed by the US Secret Service after he shared then d,news,470,en,-0.00591931216931217
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/cp3q5kqj80vo,An extraordinary thing happened to me on a recent flight to Madrid: I unwittingly travelled under th,news,1282,en,0.03584003298289013
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/c9q047dgvyno,Former US President Joe Biden struggled to recall key milestones from his own life during an intervi,news,423,en,0.008557900432900436
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/c3e540k8xepo,A second man has been arrested in connection with alleged arson attacks in north London at propertie,news,410,en,-0.0055000000000000005
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/c4gezq2q911o,"Few names are as synonymous with video games as Doom. First launched in 1993, the first-person shoot",news,1039,en,0.1370860559775654
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/c0lnp3ny4wro,"With a pair of bright pink tweezers in hand, Emma Teni is delicately wrestling a large and leggy spi",news,1628,en,0.12497923828909743
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/c80kez3pxzvo,"Ozwald Boateng, celebrating four decades of making his indelible mark on the fashion industry, got h",news,1058,en,0.1433886739737803
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/cx2jxn8m88ro,"In a setback for Donald Trump, his fellow Republicans in the House of Representatives have failed to",news,936,en,0.026842766287210742
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/videos/c20x1w9xq4po,"US President Donald Trump says ""a lot of people are starving"" in Gaza, and the US will make sure the",analysis,456,en,0.07011126893939394
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/c0lnp3ny4wro,"With a pair of bright pink tweezers in hand, Emma Teni is delicately wrestling a large and leggy spi",news,1628,en,0.12497923828909743
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/czelprjn6z5o,"The Eurovision Song Contest reaches its grand final on Saturday night in Basel, with 26 countries fi",news,1892,en,0.1915671236171237
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/cvgv445jqr1o,"Tucked away in a lane in the southern end of India's financial capital, Mumbai, is a  museum dedicat",news,760,en,0.16080299481938823
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/c80kez3pxzvo,"Ozwald Boateng, celebrating four decades of making his indelible mark on the fashion industry, got h",news,1058,en,0.1433886739737803
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/videos/cx2qe7lekqlo,"Flames ripped through a former plantation house in Louisiana, which was built in 1859, destroying mu",news,497,en,0.10153409090909093
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/cpqe213vw3po,The hackers behind a cyber-attack on Marks & Spencer (M&S) managed to gain entry through a third par,news,515,en,0.059764309764309756
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/c04eze3wv5go,Three alleged Iranian spies have appeared in court charged with targeting UK-based journalists so th,news,677,en,-0.022148268398268396
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/videos/c5y520wlj6po,The Band of the Irish Guards played a rendition of the UK's Eurovision entry outside Buckingham Pala,news,420,en,0.07422138047138045
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/cy4emj9414vo,Two drug smugglers who were caught with millions of pounds worth of cocaine in an inflatable boat of,news,513,en,0.07358946608946608
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/cpqe213vw3po,The hackers behind a cyber-attack on Marks & Spencer (M&S) managed to gain entry through a third par,news,515,en,0.059764309764309756
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/cr4z640dlz3o,"When Andry Hernández got a pair of tattoos on his wrists with the words mom and dad, he thought they",news,1959,en,0.06338896306186025
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/ce82vdgene7o,"Ten prisoners, several of them facing murder charges, have escaped from a New Orleans jail and may h",news,643,en,0.00019382688874213902
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/c04eze3wv5go,Three alleged Iranian spies have appeared in court charged with targeting UK-based journalists so th,news,677,en,-0.022148268398268396
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/videos/c2d54g6rkkyo,"After a tense first week, Sean ""Diddy"" Combs lawyers finished their cross-examination on the prosecu",news,438,en,0.07830650252525252
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/videos/cx2qe7lekqlo,"Flames ripped through a former plantation house in Louisiana, which was built in 1859, destroying mu",news,497,en,0.10153409090909093
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/videos/c5y520wlj6po,The Band of the Irish Guards played a rendition of the UK's Eurovision entry outside Buckingham Pala,news,420,en,0.07422138047138045
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/videos/c20x1w9xq4po,"US President Donald Trump says ""a lot of people are starving"" in Gaza, and the US will make sure the",analysis,456,en,0.07011126893939394
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/videos/cd624xnn0lno,"The US Supreme Court listened to the birthright citizenship case on Thursday, which asked whether lo",news,441,en,0.09341066919191919
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/clyv789ejgxo,"""There are decades where nothing happens; and there are weeks where decades happen."" So supposedly s",news,1804,en,0.05794593931848833
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/c8d14yyverro,A rescue mission is under way to reach several people buried in an avalanche on the Eiger mountain i,news,125,en,0.12777777777777777
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/c70nw7v5ykyo,At least 21 people are reported to have died and dozens others injured after tornadoes tore through ,news,573,en,0.036382623224728496
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/cd7geg3lvz1o,"Hamas says its negotiators have opened a new round of talks aimed at ending the war in Gaza, hours a",news,768,en,0.012142652944539744
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/c5yk71dmxk3o,The Hudson Bay Company - Canada's oldest corporation - will sell its brand to another iconic nationa,news,279,en,0.06695601851851851
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/cp3q5kqj80vo,An extraordinary thing happened to me on a recent flight to Madrid: I unwittingly travelled under th,news,1282,en,0.03584003298289013
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/c4ge0xk4ld1o,"The US has lost its last perfect credit rating, as influential ratings firm Moody's expressed concer",news,415,en,0.10757936507936508
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/cvgv445jqr1o,"Tucked away in a lane in the southern end of India's financial capital, Mumbai, is a  museum dedicat",news,760,en,0.16080299481938823
2025-05-17 10:37:22,https://www.bbc.com/news,https://www.bbc.com/news/articles/ce82vdgene7o,"Ten prisoners, several of them facing murder charges, have escaped from a New Orleans jail and may h",news,643,en,0.00019382688874213902
